carga,schedule,threads,t_seq_s,t_omp_s,speedup,eficiencia_pct,n_rep
pequena,dynamic:1024,2,0.264346,0.183563,1.440,72.00,10
pequena,dynamic:1024,4,0.264346,0.095877,2.757,68.93,10
pequena,dynamic:1024,6,0.264346,0.086613,3.052,50.87,10
pequena,dynamic:1024,8,0.264346,0.079575,3.322,41.52,10
pequena,guided:1024,2,0.264346,0.182449,1.449,72.44,10
pequena,guided:1024,4,0.264346,0.097306,2.717,67.92,10
pequena,guided:1024,6,0.264346,0.091981,2.874,47.90,10
pequena,guided:1024,8,0.264346,0.081095,3.260,40.75,10
media,dynamic:1024,2,3.087972,2.135249,1.446,72.31,10
media,dynamic:1024,4,3.087972,1.129446,2.734,68.35,10
media,dynamic:1024,6,3.087972,1.019873,3.028,50.46,10
media,dynamic:1024,8,3.087972,0.941679,3.279,40.99,10
media,guided:1024,2,3.087972,2.133405,1.447,72.37,10
media,guided:1024,4,3.087972,1.126572,2.741,68.53,10
media,guided:1024,6,3.087972,1.112176,2.777,46.28,10
media,guided:1024,8,3.087972,0.949525,3.252,40.65,10
grande,dynamic:1024,2,10.755516,7.827994,1.374,68.70,10
grande,dynamic:1024,4,10.755516,4.503688,2.388,59.70,10
grande,dynamic:1024,6,10.755516,3.634359,2.959,49.32,10
grande,dynamic:1024,8,10.755516,3.373458,3.188,39.85,10
grande,guided:1024,2,10.755516,7.444430,1.445,72.24,10
grande,guided:1024,4,10.755516,3.931087,2.736,68.40,10
grande,guided:1024,6,10.755516,3.842922,2.799,46.65,10
grande,guided:1024,8,10.755516,3.360784,3.200,40.00,10
