carga,versao,schedule,threads,repeticao,tempo_s,passos,checksum
pequena,seq,-,1,1,0.266411,80,17073017104646724864
pequena,seq,-,1,2,0.264978,80,17073017104646724864
pequena,seq,-,1,3,0.264246,80,17073017104646724864
pequena,seq,-,1,4,0.264800,80,17073017104646724864
pequena,seq,-,1,5,0.263913,80,17073017104646724864
pequena,seq,-,1,6,0.264813,80,17073017104646724864
pequena,seq,-,1,7,0.264445,80,17073017104646724864
pequena,seq,-,1,8,0.264934,80,17073017104646724864
pequena,seq,-,1,9,0.263608,80,17073017104646724864
pequena,seq,-,1,10,0.263935,80,17073017104646724864
pequena,omp,dynamic:1024,2,1,0.186327,80,17073017104646724864
pequena,omp,dynamic:1024,2,2,0.182278,80,17073017104646724864
pequena,omp,dynamic:1024,2,3,0.182665,80,17073017104646724864
pequena,omp,dynamic:1024,2,4,0.182189,80,17073017104646724864
pequena,omp,dynamic:1024,2,5,0.182457,80,17073017104646724864
pequena,omp,dynamic:1024,2,6,0.182584,80,17073017104646724864
pequena,omp,dynamic:1024,2,7,0.182741,80,17073017104646724864
pequena,omp,dynamic:1024,2,8,0.182786,80,17073017104646724864
pequena,omp,dynamic:1024,2,9,0.182982,80,17073017104646724864
pequena,omp,dynamic:1024,2,10,0.188621,80,17073017104646724864
pequena,omp,dynamic:1024,4,1,0.095888,80,17073017104646724864
pequena,omp,dynamic:1024,4,2,0.095753,80,17073017104646724864
pequena,omp,dynamic:1024,4,3,0.095919,80,17073017104646724864
pequena,omp,dynamic:1024,4,4,0.095876,80,17073017104646724864
pequena,omp,dynamic:1024,4,5,0.095911,80,17073017104646724864
pequena,omp,dynamic:1024,4,6,0.095834,80,17073017104646724864
pequena,omp,dynamic:1024,4,7,0.095994,80,17073017104646724864
pequena,omp,dynamic:1024,4,8,0.095836,80,17073017104646724864
pequena,omp,dynamic:1024,4,9,0.095842,80,17073017104646724864
pequena,omp,dynamic:1024,4,10,0.095919,80,17073017104646724864
pequena,omp,dynamic:1024,6,1,0.086694,80,17073017104646724864
pequena,omp,dynamic:1024,6,2,0.086805,80,17073017104646724864
pequena,omp,dynamic:1024,6,3,0.086508,80,17073017104646724864
pequena,omp,dynamic:1024,6,4,0.086501,80,17073017104646724864
pequena,omp,dynamic:1024,6,5,0.086521,80,17073017104646724864
pequena,omp,dynamic:1024,6,6,0.086525,80,17073017104646724864
pequena,omp,dynamic:1024,6,7,0.086649,80,17073017104646724864
pequena,omp,dynamic:1024,6,8,0.086612,80,17073017104646724864
pequena,omp,dynamic:1024,6,9,0.086631,80,17073017104646724864
pequena,omp,dynamic:1024,6,10,0.086687,80,17073017104646724864
pequena,omp,dynamic:1024,8,1,0.079430,80,17073017104646724864
pequena,omp,dynamic:1024,8,2,0.079450,80,17073017104646724864
pequena,omp,dynamic:1024,8,3,0.080363,80,17073017104646724864
pequena,omp,dynamic:1024,8,4,0.079530,80,17073017104646724864
pequena,omp,dynamic:1024,8,5,0.079555,80,17073017104646724864
pequena,omp,dynamic:1024,8,6,0.079521,80,17073017104646724864
pequena,omp,dynamic:1024,8,7,0.079578,80,17073017104646724864
pequena,omp,dynamic:1024,8,8,0.079494,80,17073017104646724864
pequena,omp,dynamic:1024,8,9,0.079416,80,17073017104646724864
pequena,omp,dynamic:1024,8,10,0.079413,80,17073017104646724864
media,seq,-,1,1,3.074280,100,17187382406529706254
media,seq,-,1,2,3.078473,100,17187382406529706254
media,seq,-,1,3,3.100376,100,17187382406529706254
media,seq,-,1,4,3.103141,100,17187382406529706254
media,seq,-,1,5,3.077210,100,17187382406529706254
media,seq,-,1,6,3.094534,100,17187382406529706254
media,seq,-,1,7,3.096353,100,17187382406529706254
media,seq,-,1,8,3.094667,100,17187382406529706254
media,seq,-,1,9,3.109962,100,17187382406529706254
media,seq,-,1,10,3.105113,100,17187382406529706254
media,omp,dynamic:1024,2,1,2.158672,100,17187382406529706254
media,omp,dynamic:1024,2,2,2.134103,100,17187382406529706254
media,omp,dynamic:1024,2,3,2.137907,100,17187382406529706254
media,omp,dynamic:1024,2,4,2.125142,100,17187382406529706254
media,omp,dynamic:1024,2,5,2.132883,100,17187382406529706254
media,omp,dynamic:1024,2,6,2.132620,100,17187382406529706254
media,omp,dynamic:1024,2,7,2.132482,100,17187382406529706254
media,omp,dynamic:1024,2,8,2.133399,100,17187382406529706254
media,omp,dynamic:1024,2,9,2.132897,100,17187382406529706254
media,omp,dynamic:1024,2,10,2.132382,100,17187382406529706254
media,omp,dynamic:1024,4,1,1.136082,100,17187382406529706254
media,omp,dynamic:1024,4,2,1.130925,100,17187382406529706254
media,omp,dynamic:1024,4,3,1.128902,100,17187382406529706254
media,omp,dynamic:1024,4,4,1.127562,100,17187382406529706254
media,omp,dynamic:1024,4,5,1.124097,100,17187382406529706254
media,omp,dynamic:1024,4,6,1.137927,100,17187382406529706254
media,omp,dynamic:1024,4,7,1.128988,100,17187382406529706254
media,omp,dynamic:1024,4,8,1.124927,100,17187382406529706254
media,omp,dynamic:1024,4,9,1.124727,100,17187382406529706254
media,omp,dynamic:1024,4,10,1.130326,100,17187382406529706254
media,omp,dynamic:1024,6,1,1.017408,100,17187382406529706254
media,omp,dynamic:1024,6,2,1.013504,100,17187382406529706254
media,omp,dynamic:1024,6,3,1.016589,100,17187382406529706254
media,omp,dynamic:1024,6,4,1.016881,100,17187382406529706254
media,omp,dynamic:1024,6,5,1.024040,100,17187382406529706254
media,omp,dynamic:1024,6,6,1.023784,100,17187382406529706254
media,omp,dynamic:1024,6,7,1.022639,100,17187382406529706254
media,omp,dynamic:1024,6,8,1.025574,100,17187382406529706254
media,omp,dynamic:1024,6,9,1.018117,100,17187382406529706254
media,omp,dynamic:1024,6,10,1.020194,100,17187382406529706254
media,omp,dynamic:1024,8,1,0.945567,100,17187382406529706254
media,omp,dynamic:1024,8,2,0.940938,100,17187382406529706254
media,omp,dynamic:1024,8,3,0.938485,100,17187382406529706254
media,omp,dynamic:1024,8,4,0.939256,100,17187382406529706254
media,omp,dynamic:1024,8,5,0.948217,100,17187382406529706254
media,omp,dynamic:1024,8,6,0.942981,100,17187382406529706254
media,omp,dynamic:1024,8,7,0.942608,100,17187382406529706254
media,omp,dynamic:1024,8,8,0.942810,100,17187382406529706254
media,omp,dynamic:1024,8,9,0.937615,100,17187382406529706254
media,omp,dynamic:1024,8,10,0.938315,100,17187382406529706254
grande,seq,-,1,1,10.753262,100,14825089465781038537
grande,seq,-,1,2,10.750907,100,14825089465781038537
grande,seq,-,1,3,10.780280,100,14825089465781038537
grande,seq,-,1,4,10.778562,100,14825089465781038537
grande,seq,-,1,5,10.752369,100,14825089465781038537
grande,seq,-,1,6,10.753839,100,14825089465781038537
grande,seq,-,1,7,10.754342,100,14825089465781038537
grande,seq,-,1,8,10.759609,100,14825089465781038537
grande,seq,-,1,9,10.765455,100,14825089465781038537
grande,seq,-,1,10,10.796646,100,14825089465781038537
grande,omp,dynamic:1024,2,1,7.527914,100,14825089465781038537
grande,omp,dynamic:1024,2,2,7.531979,100,14825089465781038537
grande,omp,dynamic:1024,2,3,7.663862,100,14825089465781038537
grande,omp,dynamic:1024,2,4,8.762851,100,14825089465781038537
grande,omp,dynamic:1024,2,5,8.728245,100,14825089465781038537
grande,omp,dynamic:1024,2,6,7.532264,100,14825089465781038537
grande,omp,dynamic:1024,2,7,7.521770,100,14825089465781038537
grande,omp,dynamic:1024,2,8,7.682422,100,14825089465781038537
grande,omp,dynamic:1024,2,9,7.679996,100,14825089465781038537
grande,omp,dynamic:1024,2,10,7.648634,100,14825089465781038537
grande,omp,dynamic:1024,4,1,3.932723,100,14825089465781038537
grande,omp,dynamic:1024,4,2,6.001347,100,14825089465781038537
grande,omp,dynamic:1024,4,3,6.611099,100,14825089465781038537
grande,omp,dynamic:1024,4,4,4.736286,100,14825089465781038537
grande,omp,dynamic:1024,4,5,3.949132,100,14825089465781038537
grande,omp,dynamic:1024,4,6,3.953613,100,14825089465781038537
grande,omp,dynamic:1024,4,7,3.957118,100,14825089465781038537
grande,omp,dynamic:1024,4,8,3.962237,100,14825089465781038537
grande,omp,dynamic:1024,4,9,3.963542,100,14825089465781038537
grande,omp,dynamic:1024,4,10,3.969780,100,14825089465781038537
grande,omp,dynamic:1024,6,1,3.628113,100,14825089465781038537
grande,omp,dynamic:1024,6,2,3.630084,100,14825089465781038537
grande,omp,dynamic:1024,6,3,3.630565,100,14825089465781038537
grande,omp,dynamic:1024,6,4,3.630808,100,14825089465781038537
grande,omp,dynamic:1024,6,5,3.649062,100,14825089465781038537
grande,omp,dynamic:1024,6,6,3.633733,100,14825089465781038537
grande,omp,dynamic:1024,6,7,3.632213,100,14825089465781038537
grande,omp,dynamic:1024,6,8,3.642046,100,14825089465781038537
grande,omp,dynamic:1024,6,9,3.634340,100,14825089465781038537
grande,omp,dynamic:1024,6,10,3.632626,100,14825089465781038537
grande,omp,dynamic:1024,8,1,3.370579,100,14825089465781038537
grande,omp,dynamic:1024,8,2,3.393492,100,14825089465781038537
grande,omp,dynamic:1024,8,3,3.367899,100,14825089465781038537
grande,omp,dynamic:1024,8,4,3.366670,100,14825089465781038537
grande,omp,dynamic:1024,8,5,3.371239,100,14825089465781038537
grande,omp,dynamic:1024,8,6,3.369455,100,14825089465781038537
grande,omp,dynamic:1024,8,7,3.370878,100,14825089465781038537
grande,omp,dynamic:1024,8,8,3.370366,100,14825089465781038537
grande,omp,dynamic:1024,8,9,3.381454,100,14825089465781038537
grande,omp,dynamic:1024,8,10,3.372544,100,14825089465781038537
