carga,versao,schedule,threads,repeticao,tempo_s,passos,checksum
pequena,seq,-,1,1,0.264907,80,17073017104646724864
pequena,seq,-,1,2,0.263468,80,17073017104646724864
pequena,seq,-,1,3,0.264117,80,17073017104646724864
pequena,seq,-,1,4,0.263426,80,17073017104646724864
pequena,seq,-,1,5,0.263721,80,17073017104646724864
pequena,seq,-,1,6,0.264913,80,17073017104646724864
pequena,seq,-,1,7,0.264038,80,17073017104646724864
pequena,seq,-,1,8,0.263912,80,17073017104646724864
pequena,seq,-,1,9,0.263693,80,17073017104646724864
pequena,seq,-,1,10,0.264642,80,17073017104646724864
pequena,omp,guided:1024,2,1,0.181851,80,17073017104646724864
pequena,omp,guided:1024,2,2,0.181671,80,17073017104646724864
pequena,omp,guided:1024,2,3,0.181741,80,17073017104646724864
pequena,omp,guided:1024,2,4,0.181394,80,17073017104646724864
pequena,omp,guided:1024,2,5,0.188240,80,17073017104646724864
pequena,omp,guided:1024,2,6,0.181723,80,17073017104646724864
pequena,omp,guided:1024,2,7,0.182715,80,17073017104646724864
pequena,omp,guided:1024,2,8,0.181712,80,17073017104646724864
pequena,omp,guided:1024,2,9,0.181777,80,17073017104646724864
pequena,omp,guided:1024,2,10,0.181671,80,17073017104646724864
pequena,omp,guided:1024,4,1,0.097058,80,17073017104646724864
pequena,omp,guided:1024,4,2,0.097057,80,17073017104646724864
pequena,omp,guided:1024,4,3,0.097054,80,17073017104646724864
pequena,omp,guided:1024,4,4,0.097111,80,17073017104646724864
pequena,omp,guided:1024,4,5,0.096995,80,17073017104646724864
pequena,omp,guided:1024,4,6,0.096775,80,17073017104646724864
pequena,omp,guided:1024,4,7,0.097081,80,17073017104646724864
pequena,omp,guided:1024,4,8,0.097080,80,17073017104646724864
pequena,omp,guided:1024,4,9,0.099786,80,17073017104646724864
pequena,omp,guided:1024,4,10,0.097065,80,17073017104646724864
pequena,omp,guided:1024,6,1,0.092841,80,17073017104646724864
pequena,omp,guided:1024,6,2,0.090766,80,17073017104646724864
pequena,omp,guided:1024,6,3,0.093376,80,17073017104646724864
pequena,omp,guided:1024,6,4,0.092381,80,17073017104646724864
pequena,omp,guided:1024,6,5,0.091325,80,17073017104646724864
pequena,omp,guided:1024,6,6,0.092203,80,17073017104646724864
pequena,omp,guided:1024,6,7,0.091862,80,17073017104646724864
pequena,omp,guided:1024,6,8,0.089747,80,17073017104646724864
pequena,omp,guided:1024,6,9,0.094064,80,17073017104646724864
pequena,omp,guided:1024,6,10,0.091241,80,17073017104646724864
pequena,omp,guided:1024,8,1,0.081024,80,17073017104646724864
pequena,omp,guided:1024,8,2,0.081021,80,17073017104646724864
pequena,omp,guided:1024,8,3,0.081066,80,17073017104646724864
pequena,omp,guided:1024,8,4,0.081015,80,17073017104646724864
pequena,omp,guided:1024,8,5,0.081640,80,17073017104646724864
pequena,omp,guided:1024,8,6,0.081073,80,17073017104646724864
pequena,omp,guided:1024,8,7,0.081051,80,17073017104646724864
pequena,omp,guided:1024,8,8,0.081036,80,17073017104646724864
pequena,omp,guided:1024,8,9,0.081035,80,17073017104646724864
pequena,omp,guided:1024,8,10,0.080991,80,17073017104646724864
media,seq,-,1,1,3.082547,100,17187382406529706254
media,seq,-,1,2,3.076229,100,17187382406529706254
media,seq,-,1,3,3.073825,100,17187382406529706254
media,seq,-,1,4,3.103438,100,17187382406529706254
media,seq,-,1,5,3.077954,100,17187382406529706254
media,seq,-,1,6,3.090768,100,17187382406529706254
media,seq,-,1,7,3.074983,100,17187382406529706254
media,seq,-,1,8,3.090599,100,17187382406529706254
media,seq,-,1,9,3.074864,100,17187382406529706254
media,seq,-,1,10,3.080124,100,17187382406529706254
media,omp,guided:1024,2,1,2.123546,100,17187382406529706254
media,omp,guided:1024,2,2,2.124717,100,17187382406529706254
media,omp,guided:1024,2,3,2.120286,100,17187382406529706254
media,omp,guided:1024,2,4,2.116298,100,17187382406529706254
media,omp,guided:1024,2,5,2.121286,100,17187382406529706254
media,omp,guided:1024,2,6,2.135918,100,17187382406529706254
media,omp,guided:1024,2,7,2.143647,100,17187382406529706254
media,omp,guided:1024,2,8,2.192259,100,17187382406529706254
media,omp,guided:1024,2,9,2.135159,100,17187382406529706254
media,omp,guided:1024,2,10,2.120936,100,17187382406529706254
media,omp,guided:1024,4,1,1.125915,100,17187382406529706254
media,omp,guided:1024,4,2,1.133239,100,17187382406529706254
media,omp,guided:1024,4,3,1.133118,100,17187382406529706254
media,omp,guided:1024,4,4,1.128646,100,17187382406529706254
media,omp,guided:1024,4,5,1.123911,100,17187382406529706254
media,omp,guided:1024,4,6,1.124955,100,17187382406529706254
media,omp,guided:1024,4,7,1.124586,100,17187382406529706254
media,omp,guided:1024,4,8,1.124440,100,17187382406529706254
media,omp,guided:1024,4,9,1.124034,100,17187382406529706254
media,omp,guided:1024,4,10,1.122878,100,17187382406529706254
media,omp,guided:1024,6,1,1.085651,100,17187382406529706254
media,omp,guided:1024,6,2,1.083393,100,17187382406529706254
media,omp,guided:1024,6,3,1.103950,100,17187382406529706254
media,omp,guided:1024,6,4,1.119354,100,17187382406529706254
media,omp,guided:1024,6,5,1.134688,100,17187382406529706254
media,omp,guided:1024,6,6,1.138981,100,17187382406529706254
media,omp,guided:1024,6,7,1.120042,100,17187382406529706254
media,omp,guided:1024,6,8,1.107003,100,17187382406529706254
media,omp,guided:1024,6,9,1.114086,100,17187382406529706254
media,omp,guided:1024,6,10,1.114610,100,17187382406529706254
media,omp,guided:1024,8,1,0.950666,100,17187382406529706254
media,omp,guided:1024,8,2,0.949325,100,17187382406529706254
media,omp,guided:1024,8,3,0.949264,100,17187382406529706254
media,omp,guided:1024,8,4,0.952480,100,17187382406529706254
media,omp,guided:1024,8,5,0.949308,100,17187382406529706254
media,omp,guided:1024,8,6,0.949751,100,17187382406529706254
media,omp,guided:1024,8,7,0.952391,100,17187382406529706254
media,omp,guided:1024,8,8,0.946946,100,17187382406529706254
media,omp,guided:1024,8,9,0.947193,100,17187382406529706254
media,omp,guided:1024,8,10,0.947926,100,17187382406529706254
grande,seq,-,1,1,10.746414,100,14825089465781038537
grande,seq,-,1,2,10.746392,100,14825089465781038537
grande,seq,-,1,3,10.748372,100,14825089465781038537
grande,seq,-,1,4,10.747877,100,14825089465781038537
grande,seq,-,1,5,10.747941,100,14825089465781038537
grande,seq,-,1,6,10.747589,100,14825089465781038537
grande,seq,-,1,7,10.752402,100,14825089465781038537
grande,seq,-,1,8,10.750787,100,14825089465781038537
grande,seq,-,1,9,10.752458,100,14825089465781038537
grande,seq,-,1,10,10.724821,100,14825089465781038537
grande,omp,guided:1024,2,1,7.450328,100,14825089465781038537
grande,omp,guided:1024,2,2,7.443909,100,14825089465781038537
grande,omp,guided:1024,2,3,7.428647,100,14825089465781038537
grande,omp,guided:1024,2,4,7.441792,100,14825089465781038537
grande,omp,guided:1024,2,5,7.444689,100,14825089465781038537
grande,omp,guided:1024,2,6,7.463539,100,14825089465781038537
grande,omp,guided:1024,2,7,7.437107,100,14825089465781038537
grande,omp,guided:1024,2,8,7.442215,100,14825089465781038537
grande,omp,guided:1024,2,9,7.448237,100,14825089465781038537
grande,omp,guided:1024,2,10,7.443833,100,14825089465781038537
grande,omp,guided:1024,4,1,3.915763,100,14825089465781038537
grande,omp,guided:1024,4,2,3.919871,100,14825089465781038537
grande,omp,guided:1024,4,3,3.917079,100,14825089465781038537
grande,omp,guided:1024,4,4,3.918726,100,14825089465781038537
grande,omp,guided:1024,4,5,4.033973,100,14825089465781038537
grande,omp,guided:1024,4,6,3.915250,100,14825089465781038537
grande,omp,guided:1024,4,7,3.918684,100,14825089465781038537
grande,omp,guided:1024,4,8,3.916820,100,14825089465781038537
grande,omp,guided:1024,4,9,3.926132,100,14825089465781038537
grande,omp,guided:1024,4,10,3.928567,100,14825089465781038537
