carga,schedule,threads,t_seq_s,t_omp_s,speedup,eficiencia_pct,n_rep
pequena,guided:1024,1,0.083092,0.099224,0.837,83.74,10
pequena,guided:1024,2,0.083092,0.052361,1.587,79.35,10
pequena,guided:1024,3,0.083092,0.035459,2.343,78.11,10
pequena,guided:1024,4,0.083092,0.032095,2.589,64.72,10
pequena,guided:1024,5,0.083092,0.029900,2.779,55.58,10
pequena,guided:1024,6,0.083092,0.028959,2.869,47.82,10
pequena,guided:1024,7,0.083092,0.027257,3.048,43.55,10
pequena,guided:1024,8,0.083092,0.033282,2.497,31.21,10
media,guided:1024,1,0.942207,1.126657,0.836,83.63,10
media,guided:1024,2,0.942207,0.588427,1.601,80.06,10
media,guided:1024,3,0.942207,0.456809,2.063,68.75,10
media,guided:1024,4,0.942207,0.376859,2.500,62.50,10
media,guided:1024,5,0.942207,0.346127,2.722,54.44,10
media,guided:1024,6,0.942207,0.328233,2.871,47.84,10
media,guided:1024,7,0.942207,0.300556,3.135,44.78,10
media,guided:1024,8,0.942207,0.278883,3.378,42.23,10
grande,guided:1024,1,3.302497,4.050385,0.815,81.54,10
grande,guided:1024,2,3.302497,2.267915,1.456,72.81,10
grande,guided:1024,3,3.302497,1.727732,1.911,63.72,10
grande,guided:1024,4,3.302497,1.422973,2.321,58.02,10
grande,guided:1024,5,3.302497,1.341581,2.462,49.23,10
grande,guided:1024,6,3.302497,1.258350,2.624,43.74,10
grande,guided:1024,7,3.302497,1.252327,2.637,37.67,10
grande,guided:1024,8,3.302497,1.181848,2.794,34.93,10
